image_name,age
012_1.bmp,48
085_1.bmp,59
051_2.bmp,13
031_1.bmp,73
097_2.bmp,15
166_3.bmp,64
076_3.bmp,8
034_1.bmp,20
126_1.bmp,36
144_2.bmp,26
192_1.bmp,10
099_4.bmp,6
046_1.bmp,64
013_1.bmp,48
051_1.bmp,23
194_3.bmp,57
045_2.bmp,77
048_1.bmp,60
118_1.bmp,41
124_4.bmp,59
069_2.bmp,52
204_2.bmp,65
102_5.bmp,37
054_4.bmp,29
030_2.bmp,24
092_1.bmp,44
087_2.bmp,18
019_4.bmp,7
169_3.bmp,22
123_1.bmp,72
153_3.bmp,63
023_4.bmp,79
007_1.bmp,44
095_3.bmp,40
109_3.bmp,74
076_6.bmp,56
006_3.bmp,4
220_3.bmp,10
005_1.bmp,24
164_2.bmp,69
102_4.bmp,55
083_1.bmp,80
065_2.bmp,29
040_2.bmp,19
107_1.bmp,67
083_2.bmp,53
070_4.bmp,63
035_1.bmp,16
068_3.bmp,21
025_1.bmp,47
024_1.bmp,75
100_2.bmp,9
068_4.bmp,64
103_1.bmp,57
175_2.bmp,56
004_2.bmp,37
067_3.bmp,20
141_3.bmp,32
120_2.bmp,51
149_2.bmp,27
164_1.bmp,45
011_3.bmp,53
062_3.bmp,24
201_2.bmp,36
116_1.bmp,79
120_5.bmp,51
128_2.bmp,72
110_2.bmp,30
054_2.bmp,76
018_1.bmp,54
047_2.bmp,72
104_1.bmp,6
196_2.bmp,7
043_5.bmp,11
042_4.bmp,14
120_2.bmp,22
046_2.bmp,77
052_3.bmp,39
059_4.bmp,24
058_1.bmp,42
046_3.bmp,45
097_1.bmp,71
063_5.bmp,76
071_2.bmp,55
021_3.bmp,39
156_2.bmp,8
208_2.bmp,59
002_6.bmp,75
088_2.bmp,30
053_1.bmp,5
098_4.bmp,6
087_3.bmp,12
207_1.bmp,46
017_3.bmp,45
063_5.bmp,66
100_4.bmp,5
079_1.bmp,39
187_2.bmp,64
049_3.bmp,73
115_2.bmp,6
015_2.bmp,54
122_4.bmp,10
054_5.bmp,68
097_3.bmp,50
038_2.bmp,42
009_1.bmp,14
103_3.bmp,45
046_2.bmp,6
037_1.bmp,60
092_3.bmp,26
110_1.bmp,5
064_2.bmp,10
177_3.bmp,9
075_1.bmp,54
218_3.bmp,31
096_2.bmp,71
025_1.bmp,68
088_3.bmp,12
058_2.bmp,42
086_2.bmp,50
120_1.bmp,49
018_2.bmp,75
027_1.bmp,18
